domain,test_case,test_case_norm,class_name,mean_confidence,distance,lab,car,condition
RGB,M050,M50,bicycle,0.7939430157343547,40,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M050,M50,person,0.7605972737073898,40,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M051,M51,bicycle,0.6406685094038646,40,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M051,M51,person,0.5897021144628525,40,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M053,M53,person,0.31305772066116333,40,OFF,Low beam,"Lab: OFF, Car: Low beam"
RGB,M055,M55,person,0.8235586146513622,45,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M055,M55,skateboard,0.2771129757165909,45,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M056,M56,person,0.6479953652934024,45,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M057,M57,person,0.5705470752257568,45,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M07,M7,person,0.31718659785486036,5,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M07,M7,potted plant,0.7348922342061996,5,ON(100%),Off (Day driving lights),"Lab: ON(100%), Car: Off (Day driving lights)"
RGB,M08,M8,car,0.27086256444454193,5,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M08,M8,person,0.30624022086461383,5,ON(2%),Off (Day driving lights),"Lab: ON(2%), Car: Off (Day driving lights)"
RGB,M09,M9,car,0.2645285278558731,5,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
RGB,M09,M9,potted plant,0.35305392146110537,5,ON(2%),Low beam,"Lab: ON(2%), Car: Low beam"
